SessionID,Location,babies_anchor,babies_code,babies_est,chicago_anchor,Chicago_code,chicago_est,everest_anchor,everest_code,everest_est,,Babies,,Chicago,,Everest,,,,,,,,,,,,,,,2.02107539
2409609,ithaca,lowanchor,1,,lowanchor,1,600000,lowanchor,1,,,Low,High,Low,High,Low,High,,,,,,,,,,,,,,
2442646,ithaca,lowanchor,1,2000,lowanchor,1,,highanchor,2,30000,,2000,4000,600000,3500000,3800,30000,,,,,,,,,,,,,,
2442662,ithaca,lowanchor,1,5000,highanchor,2,3500000,highanchor,2,40000,,5000,3000,240000,800000,26000,40000,,,,,,,,,,,,,,
2442673,ithaca,highanchor,2,4000,lowanchor,1,240000,highanchor,2,39000,,3200,3000,350000,2000000,5000,39000,,,,,,,,,,,,,,
2442680,ithaca,highanchor,2,3000,lowanchor,1,350000,lowanchor,1,3800,,3500,4000,250000,1500000,3000,38000,,,,,,,,,,,,,,
2442692,ithaca,highanchor,2,3000,highanchor,2,800000,highanchor,2,38000,,3000,5000,700000,3500000,3000,40000,,,,,,,,,,,,,,
2442700,ithaca,lowanchor,1,3200,highanchor,2,2000000,lowanchor,1,26000,,3000,4500,350000,3000000,3500,43000,,,,,,,,,,,,,,
2442711,ithaca,lowanchor,1,3500,highanchor,2,1500000,lowanchor,1,5000,,2000,4000,1000000,3000000,10000,38485,,,,,,,,,,,,,,
2442718,ithaca,highanchor,2,4000,lowanchor,1,250000,lowanchor,1,3000,,3000,4000,300000,3500000,3500,35000,,,,,,,,,,,,,,
2442903,ithaca,lowanchor,1,,lowanchor,1,700000,lowanchor,1,3000,,2500,4000,2000000,3700000,3000,33000,,,,,,,,,,,,,,
2442906,ithaca,highanchor,2,5000,highanchor,2,3500000,lowanchor,1,3500,,2500,4500,350000,4000000,20000,45000,,,,,,,,,,,,,,
2442910,ithaca,lowanchor,1,3000,lowanchor,1,350000,highanchor,2,40000,,3000,3300,300000,3000000,2200,40000,,,,,,,,,,,,,,
2443194,ithaca,highanchor,2,4500,highanchor,2,3000000,highanchor,2,43000,,3000,4500,500000,4687982,5000,45000,,,,,,,,,,,,,,
2443210,ithaca,lowanchor,1,3000,lowanchor,1,1000000,lowanchor,1,10000,,3400,4000,500000,2500000,3250,43786,,,,,,,,,,,,,,
2443211,ithaca,highanchor,2,4000,lowanchor,1,,lowanchor,1,,,2400,5430,345000,4987875,2435,42000,,,,,,,,,,,,,,
2443215,ithaca,highanchor,2,4000,lowanchor,1,,highanchor,2,38485,,2050,2000,400000,4999999,8000,30000,,,,,,,,,,,,,,
2443407,ithaca,highanchor,2,4000,lowanchor,1,300000,highanchor,2,35000,,1600,4500,3000000,3000000,3500,40000,,,,,,,,,,,,,,
2443413,ithaca,highanchor,2,4500,highanchor,2,3000000,lowanchor,1,,,2500,2000,450000,3500000,2500,30000,,,,,,,,,,,,,,
2443419,ithaca,lowanchor,1,2000,highanchor,2,3500000,lowanchor,1,3500,,2000,3000,1000000,3400000,3300,40000,,,,,,,,,,,,,,
2451795,ithaca,highanchor,2,3300,lowanchor,1,2000000,lowanchor,1,3000,,2500,4000,800000,3800000,2500,39000,,,,,,,,,,,,,,
2451900,ithaca,lowanchor,1,3000,lowanchor,1,350000,lowanchor,1,20000,,2300,5000,450000,4000000,7000,25000,,,,,,,,,,,,,,
2451905,ithaca,lowanchor,1,2500,lowanchor,1,300000,lowanchor,1,2200,,2000,5500,450000,3500000,3000,45000,,,,,,,,,,,,,,
2451911,ithaca,lowanchor,1,2500,lowanchor,1,500000,highanchor,2,33000,,3000,1800,400000,1000000,5000,35000,,,,,,,,,,,,,,
2451919,ithaca,lowanchor,1,3000,lowanchor,1,500000,lowanchor,1,5000,,1753,4500,250000,3500000,5500,35500,,,,,,,,,,,,,,
2451922,ithaca,highanchor,2,4500,highanchor,2,3700000,lowanchor,1,,,3500,2000,1000000,800000,6000,42000,,,,,,,,,,,,,,
2451925,ithaca,lowanchor,1,3000,highanchor,2,4000000,highanchor,2,45000,,2750,5600,800000,4500000,6000,40000,,,,,,,,,,,,,,
2451932,ithaca,lowanchor,1,3400,lowanchor,1,345000,lowanchor,1,3250,,3300,3000,600000,1500000,40000,40000,,,,,,,,,,,,,,
2453957,ithaca,highanchor,2,4000,highanchor,2,3000000,highanchor,2,40000,,5000,4000,450000,3500000,3000,35000,,,,,,,,,,,,,,
2453961,ithaca,highanchor,2,5430,highanchor,2,4687982,lowanchor,1,2435,,2100,4200,400000,600000,3000,43000,,,,,,,,,,,,,,
2454068,ithaca,highanchor,2,2000,lowanchor,1,400000,lowanchor,1,8000,,3000,3500,500000,1500000,3500,39000,,,,,,,,,,,,,,
2454073,ithaca,highanchor,2,4500,lowanchor,1,,lowanchor,1,3500,,3000,3500,250000,4000000,5000,30000,,,,,,,,,,,,,,
2454074,ithaca,highanchor,2,2000,lowanchor,1,,lowanchor,1,2500,,3000,4000,700000,2000000,2224,26580,,,,,,,,,,,,,,
2454076,ithaca,lowanchor,1,,highanchor,2,2500000,highanchor,2,45000,,3000,3000,260000,2000000,9000,43000,,,,,,,,,,,,,,
2454080,ithaca,lowanchor,1,2400,lowanchor,1,3000000,lowanchor,1,3300,,3500,4000,300000,3300000,4500,39000,,,,,,,,,,,,,,
2454084,ithaca,lowanchor,1,,highanchor,2,4987875,highanchor,2,43786,,3000,3000,450000,4000000,10000,45000,,,,,,,,,,,,,,
2454086,ithaca,highanchor,2,3000,lowanchor,1,450000,lowanchor,1,2500,,2500,,900000,2500000,5867,30000,,,,,,,,,,,,,,
2454088,ithaca,lowanchor,1,2050,lowanchor,1,1000000,lowanchor,1,7000,,1700,,500000,,15000,10000,,,,,,,,,,,,,,
2454089,ithaca,lowanchor,1,,lowanchor,1,800000,lowanchor,1,,,3000,,400000,,5000,27000,,,,,,,,,,,,,,
2454090,ithaca,highanchor,2,4000,lowanchor,1,450000,highanchor,2,42000,,,,1000000,,7000,30000,,,,,,,,,,,,,,
2454460,ithaca,lowanchor,1,,lowanchor,1,,highanchor,2,30000,,,,800000,,5000,23000,,,,,,,,,,,,,,
2454461,ithaca,lowanchor,1,1600,highanchor,2,4999999,lowanchor,1,3000,,,,250000,,7000,30000,,,,,,,,,,,,,,
2454494,ithaca,lowanchor,1,2500,lowanchor,1,450000,lowanchor,1,5000,,,,325000,,,45000,,,,,,,,,,,,,,
2454600,ithaca,lowanchor,1,2000,highanchor,2,3000000,lowanchor,1,5500,,,,300000,,,32000,,,,,,,,,,,,,,
2456447,ithaca,lowanchor,1,,lowanchor,1,400000,lowanchor,1,6000,,,,300000,,,45000,,,,,,,,,,,,,,
2456450,ithaca,highanchor,2,5000,highanchor,2,3500000,highanchor,2,40000,,,,250000,,,,,,,,,,,,,,,,,
2456456,ithaca,lowanchor,1,,lowanchor,1,,highanchor,2,30000,,,,250000,,,,,,,,,,,,,,,,,
2456459,ithaca,lowanchor,1,,lowanchor,1,250000,highanchor,2,40000,,,,,,,,,,,,,,,,,,,,,
2456460,ithaca,highanchor,2,5500,highanchor,2,3400000,highanchor,2,39000,,,,,,,,,,,,,,,,,,,,,
2456463,ithaca,lowanchor,1,2500,lowanchor,1,1000000,lowanchor,1,6000,,,,,,,,,,,,,,,,,,,,,
2456625,ithaca,lowanchor,1,,lowanchor,1,,lowanchor,1,40000,,,,,,,,,,,,,,,,,,,,,
2456811,ithaca,highanchor,2,1800,highanchor,2,3800000,lowanchor,1,,,,,,,,,,,,,,,,,,,,,,
2456933,ithaca,lowanchor,1,2300,highanchor,2,4000000,lowanchor,1,3000,,,,,,,,,,,,,,,,,,,,,
2456936,ithaca,highanchor,2,4500,highanchor,2,3500000,lowanchor,1,3000,,,,,,,,,,,,,,,,,,,,,
2465685,ithaca,lowanchor,1,,lowanchor,1,800000,highanchor,2,25000,,,,,,,,,,,,,,,,,,,,,
2465686,ithaca,highanchor,2,2000,lowanchor,1,600000,highanchor,2,45000,,,,,,,,,,,,,,,,,,,,,
2465689,ithaca,highanchor,2,5600,lowanchor,1,450000,lowanchor,1,3500,,,,,,,,,,,,,,,,,,,,,
2465799,ithaca,lowanchor,1,2000,highanchor,2,1000000,highanchor,2,35000,,,,,,,,,,,,,,,,,,,,,
2465800,ithaca,highanchor,2,3000,lowanchor,1,400000,highanchor,2,35500,,,,,,,,,,,,,,,,,,,,,
