ResponseID,Gender,Gender_Code,GPA,Commuter,SWB,Campus_Involvement
48,Male,2,2.95,0,4,4.142857143
98,Male,2,1.75,1,1,2.111111111
137,Male,2,3.1,1,3.2,3.777777778
226,Female,1,3.4,0,4,4.333333333
283,Male,2,3.78,0,3.8,3
330,Male,2,2.58,0,2.8,3.571428571
428,Male,2,2.94,0,3.8,2.142857143
755,Female,1,3,0,3.6,4
778,Female,1,3.4,0,2.8,3.571428571
812,Female,1,3.3,0,3,2.714285714
815,Male,2,3.2,0,3.6,3.428571429
920,Female,1,3.59,1,2.8,3.055555556
983,Female,1,,0,4.6,1
1000,Female,1,3.7,1,3.6,4.055555556
1012,Male,2,3.9,1,2.6,4.055555556
1025,Male,2,3.9,1,3.4,3.833333333
1149,Female,1,3.5,0,3,3
1230,Male,2,3.79,0,4.2,2.5
1276,Female,1,3.5,0,2.8,3.857142857
1340,Female,1,3,1,3,4.055555556
1417,Male,2,3.8,0,4.6,3.5
1534,Male,2,2.94,0,3.8,2.142857143
1672,Male,2,,1,2.5,3
1696,Female,1,,1,4,3.055555556
1804,Female,1,3.7,0,3.8,4.235294118
1820,Female,1,3.88,0,2.4,2.944444444
1885,Male,2,2.6,0,4.2,2
2035,Female,1,2,0,3.8,4.277777778
2043,Female,1,3.83,0,4.8,4.611111111
2097,Male,2,2.9,1,3.8,3.444444444
2224,Male,2,3.8,1,5,4.388888889
2337,Female,1,3.8,1,3.8,4
2395,Female,1,3.94,1,2.8,4.388888889
2430,Female,1,3.84,1,4.6,5
2469,Female,1,4,0,3.4,2.857142857
2556,Female,1,3,1,4.2,3.166666667
2557,Female,1,3.1,1,3.4,3.444444444
2672,Female,1,3,1,4,3.222222222
2685,Female,1,2.5,1,3.2,2.833333333
2769,Male,2,3.53,1,4.8,4.833333333
2865,Female,1,3.6,1,2.8,3.444444444
3000,Female,1,3.6,1,4,3.833333333
3069,Male,2,3.18,0,3.6,3.571428571
3101,Male,2,3,0,3.8,3.714285714
3134,Female,1,3.87,0,2,2.166666667
3346,Female,1,3.5,1,3.6,3.555555556
3485,Male,2,3.8,1,3.2,3.111111111
3563,Female,1,3.98,0,4.4,3.571428571
3652,Female,1,3,0,2.4,3.166666667
3754,Female,1,3.6,0,4.2,2.666666667
3903,Male,2,3,0,4.8,4
3973,Female,1,3.66,0,3.2,3.388888889
4007,Male,2,3.6,0,5,4.142857143
4152,Female,1,3.8,1,3.6,4.055555556
4167,Female,1,3.7,0,2.8,4.444444444
4217,Female,1,3.9,1,4.4,4.833333333
4219,Female,1,3,0,4.6,4
4469,Male,2,2,1,2.4,3.333333333
4494,Female,1,2.7,0,3.8,3.428571429
4552,Male,2,3.4,1,3.2,4
4570,Female,1,3,1,4,3.882352941
4643,Male,2,3.9,1,3,3
4808,Male,2,2.8,0,3.4,2.714285714
4844,Female,1,3.5,0,3.6,1.285714286
4908,Female,1,3.7,0,4,4.428571429
5078,Female,1,4,1,2.6,2.777777778
5086,Female,1,3.7,0,3.4,2.857142857
5399,Male,2,3.7,0,3.4,4.722222222
5423,Male,2,3.9,1,4.2,4.444444444
5440,Female,1,3,0,3.8,3.555555556
5600,Female,1,3.8,1,3.8,4.294117647
5677,Female,1,3.2,1,4.4,4.294117647
5681,Female,1,3.86,0,4,3.571428571
5758,Female,1,3.6,1,4.2,4.777777778
5762,Female,1,3.8,1,3.4,4.055555556
5805,Male,2,3.25,1,2.4,1.944444444
5819,Female,1,2.9,1,2.4,3.055555556
5858,Female,1,2.5,1,3.8,3.333333333
5924,Male,2,3,0,4.4,4.714285714
5926,Female,1,2.9,1,3.2,3.666666667
6145,Female,1,3.75,1,3.6,4.411764706
6168,Female,1,3.3,1,4.2,3.944444444
6532,Female,1,3.5,1,3,3.666666667
6555,Male,2,3,1,3.8,4.555555556
6620,Female,1,3,0,4,4.571428571
6696,Female,1,3.24,1,3.6,3.444444444
6698,Male,2,3,0,3.4,3.352941176
6770,Male,2,,0,3.6,
6776,Female,1,3.5,1,2.75,3.222222222
6778,Male,2,3,1,2,2.888888889
6926,Female,1,2.6,0,4,3.285714286
6986,Male,2,3.5,0,3.8,2.857142857
7395,Female,1,3,1,3.8,3.944444444
7520,Female,1,2.75,1,3.5,
7644,Female,1,4,0,4.8,4.555555556
7888,Female,1,3.8,0,4,3.722222222
8018,Male,2,2.7,0,4.4,3.666666667
8163,Female,1,4,1,3.4,3.611111111
8174,Female,1,3,1,4,3.611111111
8239,Female,1,2.8,1,3.8,2.888888889
8359,Female,1,3.6,0,2.4,2.428571429
8429,Female,1,3.4,1,3.6,3.888888889
8510,Female,1,3.6,0,4.8,3
8645,Female,1,3.57,0,2.4,4.571428571
8738,Female,1,2.6,0,4,3.833333333
9015,Female,1,3.9,0,3.4,4
9096,Female,1,3.6,0,4.2,4.428571429
9337,Female,1,3.9,0,4,3.428571429
9415,Female,1,3.5,1,4,4.277777778
9455,Female,1,3.75,1,4.8,4.388888889
9658,Male,2,2.8,0,4.2,2.142857143
9700,Female,1,3.4,0,4.2,3.857142857
9853,Female,1,3.9,0,3.8,3.888888889
