Participant,Condition,Moral_Judgements
1,clean priming,7.5
3,clean priming,7.5
4,clean priming,8.17
5,clean priming,6.33
6,clean priming,7.83
7,neutral priming,6.83
8,clean priming,6.5
9,clean priming,7.83
11,neutral priming,8.33
12,clean priming,6.5
13,neutral priming,7.67
14,clean priming,6.67
15,clean priming,6.83
17,clean priming,5.17
21,neutral priming,7.83
22,neutral priming,6.83
23,clean priming,7
24,neutral priming,4.17
25,neutral priming,6.17
26,clean priming,4
27,clean priming,6.17
28,neutral priming,7.17
29,clean priming,7.5
30,neutral priming,6.5
32,clean priming,6.33
33,neutral priming,5.83
34,clean priming,5.83
35,clean priming,8.67
36,neutral priming,6.17
38,clean priming,6.5
39,clean priming,6.17
40,clean priming,2.5
41,neutral priming,5.5
42,neutral priming,5.83
43,clean priming,6.33
44,neutral priming,7
46,clean priming,3.5
47,clean priming,8
48,neutral priming,5.5
49,neutral priming,7.5
50,clean priming,7.17
51,clean priming,6.33
52,clean priming,7
53,neutral priming,5.33
54,clean priming,6
54,clean priming,4.83
55,clean priming,6.5
57,neutral priming,5.33
58,clean priming,8.67
60,neutral priming,4.17
61,neutral priming,6.5
62,neutral priming,5.67
63,neutral priming,5
65,clean priming,4.33
66,clean priming,5.5
67,neutral priming,6.5
68,clean priming,7.5
69,clean priming,7.33
70,clean priming,7
71,neutral priming,7.83
72,neutral priming,7.83
73,clean priming,7.67
74,clean priming,6.33
75,clean priming,4.83
76,neutral priming,5.67
77,neutral priming,7.33
78,clean priming,7.17
79,neutral priming,7.83
80,neutral priming,6.5
81,neutral priming,6.17
82,clean priming,6.5
84,clean priming,7.17
86,clean priming,6
87,neutral priming,7.5
88,clean priming,5.33
89,clean priming,6
90,neutral priming,8.17
91,neutral priming,6.67
92,neutral priming,6.83
94,neutral priming,5.33
95,neutral priming,5.33
96,clean priming,8
97,neutral priming,4.67
98,clean priming,5
99,clean priming,4.33
100,clean priming,6.67
101,clean priming,7
102,clean priming,6.5
104,clean priming,6.17
105,neutral priming,6.83
106,neutral priming,7
107,clean priming,7.33
108,neutral priming,7
109,neutral priming,4.33
110,neutral priming,6.33
111,neutral priming,7.17
112,clean priming,4.67
113,clean priming,5.67
114,neutral priming,6.5
115,clean priming,7
116,neutral priming,8.83
118,clean priming,8.17
119,clean priming,6.83
120,clean priming,6.83
121,neutral priming,6.5
122,clean priming,6.67
123,neutral priming,6.83
124,clean priming,4.83
125,neutral priming,7.33
126,neutral priming,6.17
127,neutral priming,5.5
128,clean priming,7
129,neutral priming,6.83
130,clean priming,9
131,clean priming,5.67
132,neutral priming,4.5
133,neutral priming,6.33
134,clean priming,4.67
135,neutral priming,7.67
136,clean priming,7
138,clean priming,6.67
139,neutral priming,7
140,clean priming,6.17
141,clean priming,5
144,clean priming,6.5
145,clean priming,6
146,neutral priming,7.5
147,neutral priming,6.5
148,neutral priming,5.67
149,clean priming,6
150,neutral priming,8
151,neutral priming,7.67
153,neutral priming,5.5
156,clean priming,6.5
157,clean priming,6.67
158,clean priming,8
159,clean priming,6.33
160,clean priming,7.33
161,neutral priming,3.67
163,neutral priming,6.83
164,neutral priming,6
165,neutral priming,7.33
166,clean priming,5.5
167,neutral priming,6.67
168,clean priming,7
170,neutral priming,6
171,clean priming,6.5
172,neutral priming,5
173,neutral priming,7.83
174,neutral priming,7.83
175,clean priming,7.5
176,clean priming,5
177,clean priming,7
178,neutral priming,4.83
179,neutral priming,6
181,neutral priming,8
183,clean priming,6.83
184,neutral priming,7
185,neutral priming,5.33
186,clean priming,7.33
188,neutral priming,7.67
190,neutral priming,4
192,clean priming,6.67
193,neutral priming,7
194,neutral priming,7.83
195,neutral priming,7
196,neutral priming,7
198,clean priming,6.33
199,neutral priming,6.33
201,neutral priming,4.67
202,clean priming,7
204,neutral priming,6.5
205,clean priming,6.17
206,clean priming,7.33
207,neutral priming,7
208,neutral priming,7.67
209,neutral priming,6.67
210,neutral priming,8
211,clean priming,7
213,neutral priming,6.67
214,neutral priming,4.5
215,clean priming,7
216,neutral priming,8
218,neutral priming,6
219,clean priming,7.17
220,neutral priming,4.67
221,clean priming,5.5
222,clean priming,6.67
224,neutral priming,7.17
225,clean priming,7.33
226,clean priming,7.5
227,neutral priming,7.17
228,clean priming,4.5
230,clean priming,7.17
232,clean priming,6.67
234,neutral priming,6.67
237,clean priming,7
238,clean priming,5.5
239,neutral priming,7
240,neutral priming,6.83
241,clean priming,6.17
242,clean priming,7.67
243,clean priming,5.33
246,clean priming,5
247,neutral priming,3.67
248,neutral priming,7.67
249,neutral priming,6.67
250,neutral priming,6.33
,,208
