Participant,Condition,Moral_Judgements
1,neutral priming,7.83
2,clean priming,6.17
3,neutral priming,4.67
4,clean priming,4.5
5,neutral priming,7.67
6,clean priming,5.17
7,clean priming,3.83
8,neutral priming,7.67
9,neutral priming,7.67
10,clean priming,4.5
11,neutral priming,6
12,clean priming,5.17
13,neutral priming,7
14,clean priming,6.17
15,neutral priming,4.33
16,clean priming,3.17
17,neutral priming,4
18,neutral priming,6.67
19,clean priming,7.17
20,neutral priming,6.83
21,clean priming,4.5
22,clean priming,5.67
23,neutral priming,5.17
24,clean priming,4.17
25,neutral priming,5.33
26,neutral priming,4.83
27,clean priming,4.83
28,clean priming,4.67
29,clean priming,5.83
30,neutral priming,6.17
31,neutral priming,7
32,clean priming,5.83
33,neutral priming,4.67
34,clean priming,5.5
35,neutral priming,5.17
36,clean priming,6.5
37,neutral priming,5
38,neutral priming,2.5
39,clean priming,4.83
40,clean priming,1.5
