ID,Gender,Gender_Code,Age,Shool_Year,School_Year_Code,Transfer,Transfer_Code,Student_Athlete,Student_Athlete_Code,Wealth_SR, GPA ,ACT, Subjective_Well_Being , Positive_Affect , Negative_Affect , Relationship_Confidence , Exercise , Academic_Motivation_Intrinsic , Academic_Motivation_Extrinsic , Academic_Motivation_Amotivation , Intelligence_Value ,Raven_Score
21466926,Female,1,52,Post-bac,5,No,0,non-athlete,0,4, 3.9 ,, 6.50 , 3.80 , 1.50 , 3.86 , 67.00 , 6.17 , 6.83 , 1.00 , 3.00 ,87.5%
21466578,Male,2,27,Post-bac,5,Yes,1,non-athlete,0,4, 4.0 ,23, 5.25 , 3.40 , 2.70 , 4.57 , 1.00 , 2.50 , 6.33 , 1.00 , 3.33 ,87.5%
21421645,Female,1,20,Sophomore,2,No,0,non-athlete,0,3, 3.9 ,30, 5.50 , 3.50 , 1.70 , 4.71 , 126.00 , 1.50 , 5.17 , 1.50 , 3.00 ,75.0%
21450687,Male,2,19,Sophomore,2,No,0,In season,1,2, 2.5 ,24, 6.25 , 4.80 , 2.10 , 4.57 , 100.00 , 7.00 , 7.00 , 1.00 , 3.67 ,75.0%
21466410,Female,1,24,Post-bac,5,No,0,non-athlete,0,1, 3.5 ,29, 3.75 , 4.00 , 2.30 , 3.29 , 79.00 , 6.00 , 4.67 , 1.00 , 2.33 ,75.0%
21496229,Male,2,22,Senior,4,No,0,non-athlete,0,3, 3.3 ,27, 4.25 , 3.20 , 1.50 , 4.29 , 76.00 , 3.67 , 5.17 , 3.00 , 2.67 ,75.0%
21466341,Male,2,20,Junior,3,No,0,non-athlete,0,4, 3.5 ,31, 2.00 , 4.60 , 2.90 , 2.29 , 49.00 , 5.00 , 7.00 , 7.00 , 3.67 ,75.0%
21473012,Female,1,31,Post-bac,5,No,0,non-athlete,0,4, 3.9 ,, 4.25 , 3.10 , 3.20 , 4.14 , 29.00 , 5.83 , 6.33 , 1.50 , 3.00 ,75.0%
21463897,Female,1,19,Sophomore,2,No,0,non-athlete,0,3, 2.9 ,18, 6.00 , 2.90 , 2.60 , 1.86 , 20.00 , 4.50 , 7.00 , 5.50 , 4.00 ,75.0%
21481343,Male,2,21,Junior,3,No,0,non-athlete,0,2, 3.4 ,19, 5.75 , 3.00 , 1.70 , 2.57 , 18.00 , 7.00 , 6.00 , 1.00 , 3.67 ,75.0%
