SessionID,Location,Location_Code,Gender,Gender_Code,IAT_Score,,SessionID,Location,Location_Code,Gender,Gender_Code,IAT_Score
2409609,ithaca,1,female,1,1.1,,2436706,sdsu,2,female,1,0.9
2442646,ithaca,1,female,1,0.53,,2436967,sdsu,2,female,1,-0.47
2442662,ithaca,1,female,1,0.28,,2440429,sdsu,2,female,1,0.47
2442673,ithaca,1,female,1,0.32,,2440430,sdsu,2,female,1,-0.03
2442680,ithaca,1,female,1,1.21,,2440431,sdsu,2,male,2,0.14
2442692,ithaca,1,female,1,0.92,,2440596,sdsu,2,female,1,0.62
2442700,ithaca,1,male,2,-0.05,,2440598,sdsu,2,female,1,0.89
2442711,ithaca,1,female,1,0.74,,2440621,sdsu,2,male,2,0.07
2442718,ithaca,1,male,2,1.18,,2440623,sdsu,2,female,1,0.22
2442903,ithaca,1,female,1,0.15,,2440734,sdsu,2,male,2,0.31
2442906,ithaca,1,female,1,0.56,,2440737,sdsu,2,female,1,1.23
2442910,ithaca,1,female,1,-0.56,,2440740,sdsu,2,female,1,0.09
2443194,ithaca,1,female,1,-0.6,,2440881,sdsu,2,female,1,-0.01
2443210,ithaca,1,female,1,0.21,,2440883,sdsu,2,female,1,1.03
2443211,ithaca,1,female,1,0.51,,2440885,sdsu,2,female,1,0.37
2443215,ithaca,1,female,1,1.04,,2443108,sdsu,2,female,1,0.6
2443407,ithaca,1,female,1,1.26,,2443109,sdsu,2,male,2,1.21
2443413,ithaca,1,female,1,0.83,,2443110,sdsu,2,male,2,0.38
2443419,ithaca,1,female,1,-0.37,,2443367,sdsu,2,female,1,0.62
2451795,ithaca,1,female,1,-0.06,,2443371,sdsu,2,male,2,0.06
2451900,ithaca,1,female,1,0.34,,2443373,sdsu,2,female,1,-0.28
2451905,ithaca,1,female,1,0.24,,2443376,sdsu,2,female,1,0.03
2451911,ithaca,1,female,1,0.91,,2443761,sdsu,2,female,1,1.01
2451919,ithaca,1,female,1,0.78,,2443763,sdsu,2,female,1,0.89
2451922,ithaca,1,female,1,0.77,,2443765,sdsu,2,female,1,0.41
2451932,ithaca,1,female,1,0.63,,2443767,sdsu,2,male,2,0.32
2453957,ithaca,1,male,2,0.3,,2443879,sdsu,2,female,1,-0.11
2453961,ithaca,1,female,1,-0.54,,2443882,sdsu,2,female,1,0.1
