SessionID,Location,Location_Code,Gender,Gender_Code,IAT_Score
2436706,sdsu,2,female,1,0.9
2436967,sdsu,2,female,1,-0.47
2440429,sdsu,2,female,1,0.47
2440430,sdsu,2,female,1,-0.03
2440431,sdsu,2,male,2,0.14
2440596,sdsu,2,female,1,0.62
2440598,sdsu,2,female,1,0.89
2440621,sdsu,2,male,2,0.07
2440623,sdsu,2,female,1,0.22
2440734,sdsu,2,male,2,0.31
2440737,sdsu,2,female,1,1.23
2440740,sdsu,2,female,1,0.09
2440881,sdsu,2,female,1,-0.01
2440883,sdsu,2,female,1,1.03
2440885,sdsu,2,female,1,0.37
2443108,sdsu,2,female,1,0.6
2443109,sdsu,2,male,2,1.21
2443110,sdsu,2,male,2,0.38
2443367,sdsu,2,female,1,0.62
2443371,sdsu,2,male,2,0.06
2443373,sdsu,2,female,1,-0.28
2443376,sdsu,2,female,1,0.03
2443761,sdsu,2,female,1,1.01
2443763,sdsu,2,female,1,0.89
2443765,sdsu,2,female,1,0.41
2443767,sdsu,2,male,2,0.32
2443879,sdsu,2,female,1,-0.11
2443882,sdsu,2,female,1,0.1
2443887,sdsu,2,female,1,0.89
2445906,sdsu,2,male,2,0.75
2445908,sdsu,2,female,1,1.28
2445912,sdsu,2,female,1,0.58
2445951,sdsu,2,female,1,0.05
2446069,sdsu,2,male,2,-0.06
2446072,sdsu,2,female,1,1.22
2446074,sdsu,2,male,2,0.48
2446076,sdsu,2,female,1,-0.64
2447580,sdsu,2,female,1,1.08
2447581,sdsu,2,female,1,0.31
2447582,sdsu,2,male,2,0.13
2447591,sdsu,2,female,1,0.08
2447692,sdsu,2,female,1,0.79
2447693,sdsu,2,female,1,0.5
2447744,sdsu,2,female,1,-0.08
2447904,sdsu,2,male,2,-0.74
2447907,sdsu,2,female,1,0.09
2448199,sdsu,2,male,2,0.85
2448202,sdsu,2,female,1,0.65
2448203,sdsu,2,female,1,0.79
2448352,sdsu,2,male,2,-0.38
2448354,sdsu,2,male,2,-0.59
2448355,sdsu,2,female,1,0.98
2448359,sdsu,2,female,1,-0.3
2448429,sdsu,2,female,1,0.81
2448433,sdsu,2,female,1,1.2
2452411,sdsu,2,female,1,0.99
2452413,sdsu,2,male,2,0.83
2452422,sdsu,2,female,1,0.67
2452479,sdsu,2,female,1,0.75
2452480,sdsu,2,female,1,1.15
2452481,sdsu,2,female,1,1
2452747,sdsu,2,male,2,0.6
2452749,sdsu,2,male,2,0.35
2452750,sdsu,2,female,1,0.81
2452842,sdsu,2,female,1,0.18
2452844,sdsu,2,female,1,0.27
2452845,sdsu,2,female,1,-0.11
2452849,sdsu,2,female,1,-1
2452928,sdsu,2,female,1,0.87
2452930,sdsu,2,male,2,0.58
2452932,sdsu,2,female,1,1.06
2454751,sdsu,2,female,1,-0.64
2454752,sdsu,2,male,2,-0.07
2454753,sdsu,2,female,1,0.62
2455017,sdsu,2,female,1,-0.2
2455019,sdsu,2,female,1,0.08
2455106,sdsu,2,female,1,-0.43
2455109,sdsu,2,female,1,0.54
2455110,sdsu,2,female,1,1.01
2455111,sdsu,2,female,1,0.34
2456774,sdsu,2,female,1,0.53
2456780,sdsu,2,female,1,0.86
2456782,sdsu,2,female,1,0.08
2456795,sdsu,2,female,1,0.69
2456913,sdsu,2,female,1,0.55
2456914,sdsu,2,female,1,0.18
2456915,sdsu,2,female,1,0.8
