Participant,Condition,Condition_Code,Grade,Pretest,Post-test,Difference
1,Control,1,2,46.67,26.67,-20
2,Control,1,2,13.33,20,6.67
3,Control,1,2,40,60,20
4,Control,1,2,6.67,20,13.33
5,Control,1,2,66.67,60,-6.67
6,Control,1,2,26.67,33.33,6.67
7,Control,1,2,26.67,26.67,0
8,Control,1,2,20,40,20
9,Control,1,2,6.67,40,33.33
10,Control,1,2,20,20,0
11,Control,1,3,73.33,66.67,-6.67
12,Control,1,3,40,26.67,-13.33
13,Control,1,3,40,60,20
14,Control,1,3,6.67,13.33,6.67
15,Control,1,3,33.33,20,-13.33
16,Control,1,4,53.33,73.33,20
17,Control,1,4,73.33,93.33,20
18,Add'l P,3,2,60,53.33,-6.67
19,Add'l P,3,2,26.67,40,13.33
20,Add'l P,3,2,46.67,33.33,-13.33
21,Add'l P,3,2,46.67,26.67,-20
22,Add'l P,3,2,33.33,46.67,13.33
23,Add'l P,3,2,80,73.33,-6.67
24,Add'l P,3,2,20,46.67,26.67
25,Add'l P,3,2,26.67,33.33,6.67
26,Add'l P,3,2,33.33,26.67,-6.67
27,Add'l P,3,2,6.67,20,13.33
28,Add'l P,3,2,40,46.67,6.67
29,Add'l P,3,2,6.67,13.33,6.67
30,Add'l P,3,2,26.67,26.67,0
31,Add'l P,3,2,20,26.67,6.67
32,Add'l P,3,2,46.67,73.33,26.67
33,Add'l P,3,2,6.67,6.67,0
34,Add'l P,3,3,33.33,40,6.67
35,Add'l P,3,3,33.33,46.67,13.33
36,Add'l P,3,3,53.33,60,6.67
37,Add'l P,3,3,46.67,53.33,6.67
38,Add'l P,3,3,33.33,33.33,0
39,Add'l P,3,3,46.67,53.33,6.67
40,Add'l P,3,3,80,80,0
41,Add'l P,3,3,60,66.67,6.67
42,Add'l P,3,3,20,33.33,13.33
43,Add'l P,3,3,46.67,33.33,-13.33
44,Add'l P,3,4,53.33,86.67,33.33
45,Add'l P,3,4,33.33,33.33,0
46,Add'l P,3,4,46.67,66.67,20
47,Add'l P,3,4,66.67,66.67,0
48,Add'l P,3,4,80,80,0
49,Self-Ex,2,2,40,40,0
50,Self-Ex,2,2,33.33,66.67,33.33
51,Self-Ex,2,2,6.67,20,13.33
52,Self-Ex,2,2,6.67,40,33.33
53,Self-Ex,2,2,60,60,0
54,Self-Ex,2,2,20,33.33,13.33
55,Self-Ex,2,2,6.67,26.67,20
56,Self-Ex,2,2,53.33,46.67,-6.67
57,Self-Ex,2,3,46.67,60,13.33
58,Self-Ex,2,3,26.67,93.33,66.67
59,Self-Ex,2,3,33.33,73.33,40
60,Self-Ex,2,3,40,53.33,13.33
61,Self-Ex,2,3,60,73.33,13.33
62,Self-Ex,2,3,53.33,73.33,20
63,Self-Ex,2,3,40,53.33,13.33
64,Self-Ex,2,3,6.67,0,-6.67
65,Self-Ex,2,4,40,66.67,26.67
66,Self-Ex,2,4,20,60,40
67,Self-Ex,2,4,40,33.33,-6.67
68,Self-Ex,2,4,60,86.67,26.67
69,Self-Ex,2,4,40,33.33,-6.67
