Condition,Difficulty,Violence,Agression_Rating,Condition_Text,Difficulty_Text,Violence_Text
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,60,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,20,Nonviolent-Easy,Easy,Nonviolent
1,1,1,60,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,50,Nonviolent-Easy,Easy,Nonviolent
1,1,1,50,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,10,Nonviolent-Easy,Easy,Nonviolent
1,1,1,60,Nonviolent-Easy,Easy,Nonviolent
1,1,1,50,Nonviolent-Easy,Easy,Nonviolent
1,1,1,0,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,0,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,0,Nonviolent-Easy,Easy,Nonviolent
1,1,1,0,Nonviolent-Easy,Easy,Nonviolent
1,1,1,50,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,50,Nonviolent-Easy,Easy,Nonviolent
1,1,1,20,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,10,Nonviolent-Easy,Easy,Nonviolent
1,1,1,10,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,60,Nonviolent-Easy,Easy,Nonviolent
1,1,1,60,Nonviolent-Easy,Easy,Nonviolent
1,1,1,40,Nonviolent-Easy,Easy,Nonviolent
1,1,1,30,Nonviolent-Easy,Easy,Nonviolent
1,1,1,0,Nonviolent-Easy,Easy,Nonviolent
1,1,1,80,Nonviolent-Easy,Easy,Nonviolent
1,1,1,60,Nonviolent-Easy,Easy,Nonviolent
