Pen,Laptop
8.99,24.82
1.35,11.76
8.22,12.72
4.31,14.19
6.59,10.86
16,20.09
5.85,7.66
6.64,15.72
5.54,15.96
4.02,11.27
3.73,12.5
3.81,5.92
13.33,8.71
5.31,9.31
18.03,20.89
5.44,15.49
7.06,17.68
15.38,12.21
4.55,8
12.5,13.43
1.33,19.63
4.21,18.08
6.63,8.16
5.56,10
2.67,16.05
5.29,5.19
18.18,10.14
10.48,2.37
4.04,9.64
2.94,20
2.84,14.45
3.55,12.41
6.25,3.57
10.23,4.78
1,17.83
8,7.97
4.69,13.18
5.17,13.64
5.63,10.19
10.12,15.89
13.21,6.6
8.38,7.81
3.82,10.9
3.7,21.63
7.83,6.36
3.66,16.96
9.06,8.4
5.16,7.75
,8.79
,9.77
,10.22
,8.28
,21.43
,6.25
,10.61
,3.41
,15.29
,10.28
,18.9
,17.69
,9.28
,27.03
,7.69
,8.29
,15.85
,22.54
,10.77
,0.56
,9.82
,14.2
,11.11
,16.14
,4.41
,5.97
,18.42
,16.9
,7.14
,16.85
,1.92
,9.57
,23.69
,22.64
,9.92
,8.98
,11.23
,9.17
,14.29
,12.95
,13.74
,9.66
,11.43
,11.35
,6.25
,9.45
,13.39
,4.07
,11.4
,11.51
,12.88
,5.64
,7.78
,26.77
,12.69
